Worker ID randomized,User Lessons
3014,"['The AI found good results about the genus but lacked in search results of the continents.', 'The AI was aware of good notable terms that were related to the political question.', ""The AI didn't really focus on the films provided in the question."", 'The AI was good at answering about what was published first.', 'The AI is not good about answering questions involving operas.', 'The AI is knowledgeable about German football.', 'The AI is not all that knowledgeable about some colleges or universities.', 'The AI is good at answering questions about religion.', 'The AI is good at answering questions about music and/or singers.']"
6374,"[' subspecies, fabaceae, genus of, shrubs, plant, plants, species, flowering, genus,', 'The AI is good at determining answers to politics', 'The AI is bad at answering questions about movies', 'The AI is good about answering questions about games', 'The AI could not answer this question because enough information was not given', 'The AI is good at answering question about sports', 'The AI is bad at answering questions about university buildings', 'The AI is good at answering questions about religion and schools', 'The AI is good at answering questions about musicians']"
4296,"[' It seems to be better at answering questions where the absolute same phrases are used in the question as the passage and where both answers are in the question, maybe?', ""Questions that don't require dates in parenthesis it can handle."", 'Does not do well when both answers are in the question', 'Does better where the dates are listed outright.', ""Doesn't do as well with things that have multiple options as being true to describe it-possibly confuses it."", 'Does good where more than one part of the question phrase is in the passage.', ""Doesn't do good where the phrase looked for is attached to multiple right answers."", 'Does good with specificly worded questions.', 'Does good with music questions']"
1061,"[""The following words are most representative of this example and it's surrounding: </br>subspecies, fabaceae, genus of, shrubs, plant, plants, species, flowering, genus, "", ""The following words are most representative of this example and it's surrounding: </br>elected, war, political, of, party, president, politician, was, he, commanders, "", ""The following words are most representative of this example and it's surrounding: </br>director, film, actress, starring, films, directed by, directed, comedy, actor, "", ""The following words are most representative of this example and it's surrounding: </br>author, winning, books, film, designed, playstation, competed, published, games, game, "", 'better Opera', ""The following words are most representative of this example and it's surrounding: </br>league, championship, film, competed, professional, competition, footballer, club, won, football, "", ""The following words are most representative of this example and it's surrounding: </br>he played, founded, campus, was founded, school, university, college, students, schools, "", ""The following words are most representative of this example and it's surrounding: </br>written, fiction, books, novelist, book, writer, film, published, magazine, "", ""The following words are most representative of this example and it's surrounding: </br>music, musician, director, albums, rock, band, songwriter, actor, he, singer, ""]"
1754,"[' The AI answers the question correctly which are specific but not those which are technical.', 'The AI answers which are specific.', 'The AI chooses specific words for the questions rather than the actual ones.', 'The AI has specifically used the year and the name which would determine the first make.', 'The following words choice were not clear hence the AI will choose the words which are mentioned.', 'The AI will look for specifics in the text and based on the same will answer.', 'The words such as college, Arts, University was taken by the AI to answer the question.', 'The AI used the words Christian, which is a religion to answer the question.', 'The AI is looking for the words Vice President and records to determine the answer.']"
4421,"[' I understood AI is good at answering', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about politics']"
914,"[""The following words are most representative of this example and it's surrounding: </br>subspecies, fabaceae, genus of, shrubs, plant, plants, species, flowering, genus, "", ""The following words are most representative of this example and it's surrounding: </br>elected, war, political, of, party, president, politician, was, he, commanders, "", ""The following words are most representative of this example and it's surrounding: </br>director, film, actress, starring, films, directed by, directed, comedy, actor, "", ""The following words are most representative of this example and it's surrounding: </br>author, winning, books, film, designed, playstation, competed, published, games, game, "", ""The following words are most representative of this example and it's surrounding: </br>theater, composers, composer, conductor, film, classical, shakespeare, music, compositions, opera, "", ""The following words are most representative of this example and it's surrounding: </br>league, championship, film, competed, professional, competition, footballer, club, won, football, "", ""The following words are most representative of this example and it's surrounding: </br>he played, founded, campus, was founded, school, university, college, students, schools, "", ""The following words are most representative of this example and it's surrounding: </br>written, fiction, books, novelist, book, writer, film, published, magazine, "", ""The following words are most representative of this example and it's surrounding: </br>music, musician, director, albums, rock, band, songwriter, actor, he, singer, ""]"
8532,"["" The AI isn't good at multi-faceted questions about continental species."", 'The AI is good at answering simple political party questions.', ""The AI isn't good at comparing media release dates."", 'The AI is good at comparing the publishing dates of games.', 'The AI isn\'t good at answering entertainment questions with certain terminology like ""acts"".', 'The AI is good at answering simple questions about sports pros.', ""The AI isn't good at answering complex questions about university layouts."", 'The AI is good at the university background of published authors.', 'The AI is good at answering question about the hierarchy of music companies.']"
1416,"[' The AI is not good at answering questions about plants.', 'The AI is good at answering questions about politics and locations.', 'The AI is good at answering questions about films but not television. ', 'The AI is good at answering questions about video games.', 'The AI is good at answering questions about music and the arts.', 'The AI is good at answering questions about soccer (football).', 'The AI is not good at answering questions about about colleges and universities.', 'The AI is good at answering questions about books and literature.', 'The AI is good at answering questions about the music industry.']"
5064,"[' The AI is good at answering without has the words are most representative.', ""The following words are most representative of this example and it's surrounding: elected, war, political, of, party, president, politician, was, he, commanders these words deals with AI correctly"", 'The most similar and repeated word would be make confuse so the AI choose incorrectly', 'The word game is the representative of the AI ', 'On the above example there is no clear information the AI chooses random  answer', 'the words footballers, club are the representative words that take AI', 'given large number of repeated words so the AI was wrong', 'the word book , written, writer these are the represented word that choose AI', '']"
869,"[' The plants Nothoscordum and callirhoe are differnt from each as one is a citrus fruit and one is a flowering plant', 'The ai is good at answering questions that has to do with cities and numbers though not good with words that has to do with repeated words.', 'the ai is not good at dinstiguishing between the same words as used as both nouns and adjectives.', 'Ai is good at knowing what dates corresponds to nouns and dinstinguishing between them', 'AI is not good at recogonizing words like director and film and composer', 'Ai is good at recogonizing sports but not many adjectives that describe the sport.', 'AI is not good at recogonizing words having to do with schools or university or plural words', 'AI is good at recogonizing words that have to do with words that describe books and writers but not with the music industry.', 'AI is good with descriptive words but not good with abreviations']"
8799,"[' AI is more interested in key words', 'AI focus on the institution', 'AI omitted important terms', 'AI prioritize the film', 'AI consider more wrong terms.', 'AI focus on sport related terms.', 'AI get the answer when consider the basketball related terms.', 'It is correct when AI when focus on names.', 'Similar terms are more important to get the correct answer.']"
6265,"[' The AI is good at answering questions about plants', 'The AI is good at answering questions about politics', 'The AI is good at answering questions about movies', 'The AI is good at answering questions about games', 'The AI is not good at answering questions about opera', 'The AI is good at answering questions about sports', 'The AI is not good at answering questions about location', 'The AI is good at answering questions about literature', 'The AI is good at answering questions about music']"
757,"[' The AI is not good at answering questions about plants', 'The AI is good at answering this question about politics', 'The AI is not good at answering questions about movies', 'The AI is good at answering the questions about games', 'The AI is not good at answering questions about operas', 'The AI is good at answering questions about football', 'The AI is not good at answering questions about colleges', 'The AI is good at answering questions about writers', 'The AI is good at answering questions about musicians ']"
5279,"[' The AI is not good at interpreting and is good at locating direct facts.', 'The AI is good at identifying people.', 'AI is not good at making comparisons.', 'The AI is good at answering questions related to gaming.\n', 'I felt more comfortable answering this about comparisons.', 'AI is good at answering sports questions.', 'The AI is not good at determining research results.', 'AI is good at full answers related to religion', 'AI is good at identifying people.']"
8401,"[' AI IS SOMEWHAT CORECT AT ANSWERING QUESTION.', 'AI IS ANSWERED VERY WELL.THAT IS VERY HELPFUL.', 'AI ANSWER WAS WRONG', 'THE PUBLISHED YEAR WAS USEFUL TO SOLVE THE EXAMPLE', 'AI GIVES A WRONG ANSWER', 'AI GIVES ANSWER BASED ON THE COMPETED.', 'AI ANSWERED INCCORECTLY', 'I GIVE BASED ON THE REGIONAL', 'I WILL DECIDE BASED ON THE SONG WRITER']"
5687,"[' The AI has trouble answering which is more abundant if not directly stated.', 'If there is only one name mentioned, the AI picks it out no problem', ""The AI can't decipher clues, example, the other movie was based on a book that came out after the other movie but the AI couldn't figure out that that must mean the movie based on that book must then also have come out after the other movie."", 'When the AI is given both titles and a corresponding release date for each, it was able to pick out the right one.', ""The AI struggles with lists describing someone's hobbies directly following mention of that person's name. It also struggles when the number of something is only given for one of the choices."", 'The AI was successful in getting the right answer when I was unable to find the relevant information in the text I was given.', 'I was able to find the correct answer easily with the correct answer and the question right next to each other and for some reason the AI was incorrect.', 'The AI was able to answer when only one religion was mentioned.', 'The AI was able to pair the word producer with the name that was mentioned closest to that word in the text.']"
